                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7788,                 1.9487,                    1.4,                0.42795,                0.31322,                0.26526,                 0.1323,                 1.7492,                 1.7963,                 1.3807,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 1.7691,                 1.9029,                 1.3871,                0.45969,                0.30586,                0.27071,                0.13484,                  1.756,                  1.792,                 1.3804,             0.00015839,             0.00015839,             0.00015839
                      3,                 1.7706,                 1.8957,                 1.3881,                 0.4086,                0.30754,                0.27015,                0.13349,                 1.7519,                 1.7998,                 1.3794,             0.00022522,             0.00022522,             0.00022522
                      4,                   1.76,                 1.8872,                 1.3836,                0.41139,                0.31666,                0.27091,                0.13262,                 1.7548,                 1.7897,                  1.378,             0.00021288,             0.00021288,             0.00021288
                      5,                 1.7631,                 1.8797,                 1.3829,                 0.4036,                0.31911,                0.27657,                0.13564,                 1.7467,                 1.7986,                 1.3779,             0.00021288,             0.00021288,             0.00021288
                      6,                 1.7515,                 1.8662,                 1.3753,                0.42326,                0.30807,                0.27514,                 0.1357,                 1.7394,                 1.7768,                 1.3733,              0.0002005,              0.0002005,              0.0002005
                      7,                 1.7524,                 1.8589,                 1.3714,                0.41561,                0.33034,                0.27595,                0.13515,                 1.7389,                 1.7739,                 1.3703,             0.00018812,             0.00018812,             0.00018812
                      8,                 1.7482,                 1.8498,                 1.3688,                0.42545,                 0.3166,                0.27557,                 0.1364,                 1.7387,                  1.764,                 1.3694,             0.00017575,             0.00017575,             0.00017575
                      9,                 1.7342,                 1.8337,                 1.3607,                0.41257,                0.32291,                0.27692,                0.13796,                 1.7269,                 1.7707,                 1.3652,             0.00016338,             0.00016338,             0.00016338
                     10,                 1.7261,                 1.8132,                 1.3558,                0.44805,                0.32709,                0.28547,                0.14237,                 1.7305,                 1.7508,                 1.3636,               0.000151,               0.000151,               0.000151
                     11,                 1.6877,                 1.7175,                 1.3482,                0.44345,                0.33491,                0.29518,                0.15085,                  1.729,                 1.7284,                 1.3632,             0.00013862,             0.00013862,             0.00013862
                     12,                 1.6753,                 1.6784,                 1.3391,                0.45436,                0.33602,                0.30239,                0.15331,                 1.7235,                 1.7209,                 1.3562,             0.00012625,             0.00012625,             0.00012625
                     13,                 1.6709,                 1.6708,                 1.3353,                0.45519,                0.33858,                0.30296,                0.15539,                 1.7199,                 1.7126,                 1.3523,             0.00011387,             0.00011387,             0.00011387
                     14,                 1.6684,                 1.6555,                 1.3334,                0.45676,                0.35106,                 0.3082,                0.15652,                 1.7205,                 1.7075,                 1.3534,              0.0001015,              0.0001015,              0.0001015
                     15,                 1.6621,                 1.6448,                 1.3323,                0.46654,                0.33557,                0.31129,                0.15953,                 1.7133,                 1.6979,                 1.3485,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     16,                 1.6594,                 1.6365,                 1.3291,                 0.4597,                0.34434,                0.31182,                0.16039,                 1.7149,                 1.6908,                 1.3483,              7.675e-05,              7.675e-05,              7.675e-05
                     17,                 1.6604,                 1.6321,                 1.3278,                0.45843,                0.34491,                0.31262,                0.16085,                 1.7121,                 1.6943,                 1.3461,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     18,                 1.6532,                 1.6217,                 1.3249,                0.46713,                0.34087,                0.31665,                0.16255,                 1.7109,                 1.6859,                 1.3454,                5.2e-05,                5.2e-05,                5.2e-05
                     19,                  1.653,                 1.6132,                 1.3229,                0.46789,                0.34514,                0.31728,                0.16304,                  1.712,                 1.6841,                 1.3459,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     20,                 1.6535,                 1.6156,                 1.3256,                0.46614,                0.34403,                0.31648,                0.16273,                 1.7106,                 1.6854,                 1.3457,              2.725e-05,              2.725e-05,              2.725e-05
