epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1441.37,1.53236,2.08293,0.0073,0.57651,0.45035,0.46772,0.27027,1.49921,1.39062,0.00978,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091
2,2718.05,1.5006,1.35805,0.00704,0.59493,0.43497,0.45786,0.25667,1.53965,1.41153,0.01024,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126
3,3947.56,1.553,1.45103,0.00741,0.55023,0.42844,0.40299,0.22545,1.58723,1.52618,0.01073,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986
4,5160.64,1.58922,1.48999,0.00763,0.54381,0.46191,0.46443,0.26175,1.56338,1.42019,0.0106,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,6373.63,1.56645,1.37986,0.00748,0.54644,0.49341,0.5105,0.28939,1.55809,1.29806,0.01058,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,7590.85,1.54835,1.32033,0.00734,0.64468,0.51459,0.55572,0.31605,1.53669,1.22886,0.01027,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,8812.43,1.53168,1.25912,0.00713,0.62082,0.57703,0.5717,0.32915,1.5259,1.1781,0.01001,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,10032,1.51037,1.20909,0.00719,0.66076,0.56296,0.59553,0.35124,1.5059,1.10638,0.00986,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,11250.8,1.50526,1.16636,0.00691,0.66384,0.5931,0.61909,0.36617,1.48691,1.07806,0.00972,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,12469.7,1.49083,1.13822,0.00693,0.68654,0.60766,0.62984,0.37253,1.49566,1.03864,0.00975,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,13690,1.48514,1.12273,0.00689,0.70509,0.6105,0.64212,0.38385,1.46921,1.03434,0.00952,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,14906,1.47371,1.10828,0.00686,0.68733,0.62472,0.64791,0.38845,1.46779,1.03304,0.00944,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,16127.8,1.46817,1.09523,0.00676,0.69175,0.6307,0.64545,0.38898,1.46239,1.00111,0.00944,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,17348.3,1.46344,1.07002,0.00666,0.6772,0.65271,0.66994,0.40777,1.46021,0.98395,0.00942,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,18568,1.4629,1.05963,0.00664,0.64895,0.65534,0.67194,0.40797,1.44626,1.00657,0.00932,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,19785.4,1.45043,1.03734,0.00661,0.69512,0.66542,0.6805,0.41388,1.44327,0.94972,0.00925,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,20999.7,1.45054,1.02627,0.00655,0.70154,0.63775,0.67144,0.4119,1.43378,0.94448,0.00912,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,22214.2,1.43704,1.02403,0.00651,0.74885,0.64355,0.69598,0.42466,1.43417,0.93873,0.00916,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,23430.3,1.44348,1.00694,0.00647,0.69888,0.6772,0.70041,0.42889,1.42634,0.91457,0.00909,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,24643.8,1.42791,0.99429,0.00643,0.72453,0.68722,0.71366,0.44298,1.4123,0.90776,0.00896,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,25852.5,1.42084,0.9918,0.00654,0.73422,0.68462,0.71169,0.44174,1.4121,0.90892,0.00896,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,27069.3,1.42099,0.97451,0.00636,0.75414,0.66781,0.7145,0.44964,1.40895,0.90177,0.00891,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,28287.5,1.40346,0.96103,0.00645,0.75297,0.67714,0.71919,0.45133,1.40221,0.8832,0.00885,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1128.81,1.39747,0.93411,0.00629,0.75256,0.65982,0.72317,0.4554,1.40153,0.88449,0.00885,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2211.66,1.40394,0.94,0.00633,0.75331,0.68739,0.72258,0.45324,1.40076,0.88227,0.00881,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,3282.37,1.39893,0.94401,0.00629,0.74945,0.69018,0.72661,0.4577,1.39759,0.88017,0.0088,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,4352.23,1.39752,0.93502,0.00625,0.77042,0.68263,0.73265,0.46025,1.39613,0.87263,0.00879,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,5423.92,1.39626,0.92655,0.00624,0.78177,0.66604,0.73098,0.463,1.39354,0.86955,0.00876,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,6496.93,1.38983,0.92709,0.00621,0.76171,0.69079,0.73283,0.4639,1.38823,0.86445,0.00871,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,7575.43,1.38645,0.91775,0.00613,0.76381,0.68896,0.73249,0.46559,1.38882,0.86849,0.00873,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,8653.87,1.37172,0.8997,0.00622,0.75449,0.69205,0.73318,0.46634,1.3857,0.87362,0.00867,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,9740.85,1.37797,0.88849,0.00605,0.75047,0.69236,0.73468,0.4699,1.38428,0.86379,0.00865,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,10826.3,1.37127,0.89333,0.00612,0.74638,0.70707,0.73702,0.47033,1.38323,0.85713,0.00863,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,11910.5,1.37158,0.88086,0.00611,0.76721,0.69333,0.73612,0.46897,1.38264,0.8552,0.00861,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,12989.8,1.36145,0.87795,0.0061,0.75304,0.70393,0.73969,0.47148,1.37853,0.85411,0.0086,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,14074.3,1.36295,0.87258,0.00606,0.75384,0.71222,0.74247,0.47509,1.37695,0.85148,0.0086,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,15154.5,1.35837,0.86844,0.00596,0.75929,0.70533,0.74287,0.47606,1.37662,0.84834,0.00861,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,16233.3,1.36224,0.86571,0.00596,0.74912,0.71241,0.74559,0.47718,1.37475,0.84699,0.00858,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,17312.1,1.35507,0.85917,0.00597,0.74737,0.71007,0.74393,0.47628,1.37419,0.84489,0.00857,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,18391,1.35302,0.85027,0.00591,0.76756,0.70199,0.7436,0.47569,1.37225,0.84694,0.00853,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,19472.4,1.34613,0.85239,0.0059,0.76165,0.7058,0.746,0.47683,1.37092,0.84569,0.00851,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,20553,1.35188,0.8471,0.00585,0.77566,0.70238,0.74649,0.47687,1.36995,0.84552,0.00853,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,21629.7,1.34071,0.83715,0.00585,0.77937,0.70176,0.74664,0.47835,1.36846,0.84531,0.00851,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,22712.7,1.33676,0.83847,0.00599,0.76612,0.70344,0.74625,0.47701,1.36797,0.84544,0.00851,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,23793.4,1.33747,0.83084,0.00581,0.76266,0.70493,0.74741,0.47852,1.36828,0.84451,0.00852,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,24876.6,1.32211,0.82566,0.00592,0.76317,0.715,0.7473,0.47802,1.36681,0.84453,0.00851,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,25959.6,1.33618,0.84056,0.00584,0.76883,0.7143,0.74992,0.48069,1.36593,0.84359,0.00849,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,27045.9,1.32693,0.82941,0.00588,0.76868,0.71619,0.75188,0.48119,1.36513,0.84215,0.00849,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1041.85,1.30066,0.77829,0.00564,0.76875,0.71524,0.75146,0.48109,1.36477,0.84208,0.00849,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2032.94,1.32017,0.8013,0.00578,0.7798,0.70301,0.75162,0.48102,1.36454,0.84177,0.00848,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
