epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1452.27,1.32093,1.43193,1.28017,0.53909,0.46807,0.46688,0.26377,1.36704,1.24202,1.28483,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091
2,2791.07,1.32142,1.17887,1.25628,0.59444,0.40524,0.41702,0.23182,1.42844,1.31649,1.3442,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126
3,4082.71,1.37566,1.28782,1.2978,0.53191,0.36763,0.34519,0.1898,1.47902,1.45682,1.37271,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986
4,5356.92,1.38237,1.27248,1.30003,0.49801,0.42924,0.40419,0.22517,1.41452,1.33981,1.35685,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,6632.31,1.33843,1.15647,1.27881,0.59257,0.49646,0.49926,0.2837,1.37767,1.12283,1.31719,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,7907.23,1.31084,1.07833,1.26364,0.62964,0.52575,0.52651,0.30132,1.36754,1.06101,1.31147,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,9189.82,1.28462,1.01941,1.24534,0.62943,0.57066,0.57143,0.32836,1.35377,1.00448,1.30301,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,10469.1,1.26585,0.97804,1.24521,0.6222,0.59711,0.58513,0.34479,1.3308,0.9825,1.29804,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,11746.2,1.2554,0.94377,1.22542,0.65903,0.5991,0.62042,0.37161,1.31337,0.91733,1.28915,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,13023.5,1.2408,0.91815,1.22341,0.69723,0.60191,0.63198,0.37896,1.30843,0.88853,1.28834,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,14302.2,1.23061,0.90078,1.21667,0.73352,0.61063,0.65925,0.39764,1.29736,0.87407,1.28514,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,15579.7,1.22677,0.88748,1.21725,0.74718,0.61839,0.66558,0.40373,1.29176,0.84754,1.26507,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,16860.4,1.21531,0.86333,1.21168,0.72974,0.64268,0.6719,0.40859,1.2908,0.83718,1.28499,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,18137.8,1.20313,0.84694,1.20435,0.67562,0.65952,0.68345,0.41613,1.29087,0.82415,1.26242,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1541.17,1.19602,0.82621,1.18836,0.67278,0.65863,0.68424,0.41926,1.27098,0.80842,1.24786,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
