epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1182.16,1.33755,1.48623,1.29338,0.55584,0.45588,0.43224,0.24129,1.38109,1.28769,1.31124,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091
2,2303.88,1.33824,1.20817,1.26907,0.54073,0.40584,0.386,0.21615,1.43247,1.36291,1.34449,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126
3,3400.69,1.39029,1.30541,1.30382,0.54382,0.29866,0.27888,0.14913,1.49978,1.63088,1.38839,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986
4,4485.01,1.39803,1.29313,1.30842,0.51727,0.43456,0.40532,0.22112,1.4282,1.33677,1.34313,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,5573.18,1.35391,1.17793,1.28807,0.61919,0.47272,0.4961,0.27841,1.39644,1.14186,1.32364,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,6659.93,1.32857,1.10689,1.27152,0.6305,0.53466,0.53746,0.30889,1.36574,1.06855,1.30156,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,7748.88,1.30337,1.05104,1.25327,0.57771,0.55968,0.54576,0.31111,1.36927,1.03557,1.3041,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,8823.18,1.28478,1.00648,1.25315,0.65141,0.59362,0.58071,0.33547,1.34431,0.98913,1.31296,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,9910.55,1.27568,0.97202,1.23495,0.66753,0.57835,0.60338,0.35707,1.32733,0.94794,1.27643,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,10996.5,1.26217,0.9472,1.23203,0.68458,0.59148,0.62822,0.37433,1.31701,0.92195,1.27721,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,12081.9,1.25142,0.93433,1.22271,0.71243,0.59333,0.63571,0.3849,1.30807,0.88928,1.26337,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,13166.6,1.25023,0.9202,1.21997,0.67762,0.65445,0.65904,0.39608,1.30767,0.86548,1.26197,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,14252.2,1.23859,0.89972,1.21328,0.69087,0.63757,0.65196,0.39344,1.30312,0.85737,1.25495,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,15330.8,1.22881,0.88238,1.20076,0.66466,0.65003,0.67303,0.41072,1.29861,0.84803,1.25327,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,16405.7,1.22576,0.87425,1.19671,0.66868,0.64734,0.66993,0.40702,1.28845,0.8424,1.25294,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,17480.2,1.21655,0.86063,1.19661,0.69638,0.67383,0.69236,0.42398,1.28175,0.8143,1.24433,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,18559.4,1.21552,0.85268,1.20151,0.71756,0.65358,0.68311,0.42028,1.27885,0.81916,1.25212,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,19639.4,1.20885,0.84249,1.191,0.75149,0.64567,0.69788,0.42635,1.27259,0.80367,1.2526,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,20719.4,1.20459,0.83029,1.18824,0.69474,0.66451,0.69747,0.43186,1.26897,0.79741,1.2376,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,21800.8,1.198,0.82162,1.1779,0.69924,0.68552,0.70153,0.43326,1.26213,0.78602,1.22563,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,22876.2,1.19427,0.81681,1.18776,0.70075,0.68136,0.7067,0.43772,1.25799,0.77562,1.22889,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,23957.7,1.18987,0.80537,1.17987,0.7375,0.67068,0.71622,0.44815,1.25336,0.77205,1.23218,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,25035.4,1.18031,0.79883,1.17992,0.73168,0.68375,0.71962,0.44912,1.25038,0.76539,1.22597,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,26109.9,1.18225,0.79856,1.17185,0.70272,0.69717,0.72107,0.45105,1.25125,0.76209,1.22303,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,27185.9,1.17077,0.78492,1.17129,0.71369,0.69853,0.72891,0.45699,1.24844,0.7537,1.22165,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1029.86,1.16732,0.77093,1.1631,0.72318,0.69059,0.72825,0.45693,1.2436,0.75188,1.21911,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2067.14,1.16932,0.77472,1.16393,0.71467,0.70201,0.7258,0.45607,1.24096,0.75371,1.21313,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
